intervistata,condotte
1,8
2,3
3,4
4,3
5,3
6,1
7,4
8,5
9,8
10,2
11,6
12,7
13,6
14,3
15,3
16,2
17,6
18,2
19,2
20,4
21,2
22,5
23,2
24,5
25,3
26,4
27,1
28,1
29,2
30,5
31,1
32,3
33,7
34,1
35,2
36,3
37,4
38,3
39,1
40,0
41,4
42,4
43,6
44,6
45,4
46,8
47,6
48,4
49,4
50,4
51,4
52,3
53,4
54,2
55,4
56,4
57,4
58,3
59,6
60,5
61,6
62,5
63,1
64,5
65,8
66,5
67,0
68,2
69,2
70,3
71,4
72,5
73,3
74,7
75,2
76,3
77,3
78,8
79,1
80,3
81,3
82,9
83,9
84,2
85,1
86,4
87,5
88,7
89,6
90,4
91,4
92,8
93,6
94,3
95,5
96,8
97,1
98,1
99,5
100,3
101,1
102,10
103,2
104,2
105,5
106,3
107,4
108,2
109,3
110,4
111,5
112,0
113,5
114,3
115,1
